id;id_cleaning_program;day;time;cleaning_task
1;80691;2019-11-04;Shoes systems;Generic Frozen Tuna HTTP
2;26089;2019-11-04;Personal Loan Account;Cambridgeshire Norfolk Island
3;68396;2019-11-04;Tasty Metal Sausages Outdoors;invoice multi-byte
4;67716;2019-11-04;deposit Station;parsing Investment Account
5;82042;2019-11-03;Dynamic black;yellow
6;37725;2019-11-04;Generic;robust withdrawal generate
7;68161;2019-11-04;open-source hybrid;Solomon Islands Dollar
8;34833;2019-11-04;HTTP system mobile;China
9;42347;2019-11-03;multi-byte Producer;Cotton Robust
10;58054;2019-11-04;Infrastructure SSL bandwidth;application Configurable iterate
