id;id_inventory_pharmacy;code;name;purchase_price;sale_price;cuantity
1;Handcrafted Rubber Gloves;South Carolina;website Curve;1162;46459;7244
2;disintermediate Walks Credit Card Account;payment;XSS solid state Handmade Granite Fish;10493;14592;24204
3;Planner;Health;Savings Account Rupiah;55964;77580;977
4;approach Borders Unbranded;Small bypassing;monetize Frozen;56754;20085;68946
5;neural green Chicken;Web;circuit;3158;59477;93621
6;Generic Granite Gloves capacitor;Assurance Auto Loan Account cross-platform;indexing Handcrafted;89481;55300;54759
7;synthesizing Manors;Sleek Wooden Fish markets;Generic Concrete Tuna Shoes HDD;21921;32901;97586
8;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;Fundamental Designer;97479;49327;65032
9;maroon;blue web-readiness white;Drives XSS interface;74270;84624;42549
10;bricks-and-clicks drive;Avon Syrian Arab Republic Borders;web-readiness interface;48666;60618;87342
