id;id_inventory_provider;code;name;price;cuantity
1;Forward systems;Planner;National;21066;38384
2;Point calculating;Soft;iterate Savings Account deposit;37284;97139
3;Shirt SDD;communities Refined;Pike Borders;35923;66262
4;Rustic withdrawal;Coordinator;SMTP;903;32519
5;quantify Cotton;Multi-channelled Enterprise-wide SDD;Gloves Jordan;33700;66939
6;Cotton Forge New Mexico;port Pants Shirt;Credit Card Account;35673;66380
7;Spur calculating;Passage SCSI Hawaii;Steel zero defect;5708;12297
8;Upgradable Small Metal Computer;Estate;Incredible Sleek Arizona;68820;14834
9;Architect Developer;Automotive;invoice;86791;58011
10;Open-architected Lebanon;Tugrik Wooden;Plastic;14354;70468
