id;id_medicament;presentation;date_expiry;cuantity
1;99583;Naira iterate;2019-11-03;Product
2;95870;Unbranded Cotton Table Generic B2B;2019-11-04;withdrawal
3;38826;Persevering analyzing;2019-11-04;zero defect Ridges Beauty
4;27976;schemas;2019-11-04;clear-thinking Frozen Licensed
5;94053;models New Mexico District;2019-11-04;SCSI Aruba Chair
6;41125;transmit Ways;2019-11-03;engage
7;74957;redefine transmitting;2019-11-04;Practical Steel Shirt Plastic Movies
8;7535;New Taiwan Dollar Zimbabwe parse;2019-11-03;Rhode Island capacitor
9;75708;enhance Multi-channelled purple;2019-11-04;mission-critical white SMTP
10;75699;Fantastic Concrete Computer Baby;2019-11-04;Springs connecting
