id;id_prescription_notification;description;state
1;45859;Florida;Manors cyan Handcrafted Fresh Keyboard
2;98119;haptic AI Profound;Intelligent invoice Cambridgeshire
3;40667;Metrics Mayotte black;functionalities Savings Account
4;7308;Checking Account;Electronics synthesizing circuit
5;35504;Codes specifically reserved for testing purposes synthesize Metrics;index Pizza Springs
6;71833;Enterprise-wide;Prairie back-end
7;96016;input XML;Sports Jewelery
8;35702;Infrastructure Self-enabling;Intelligent Soft Gloves Pizza
9;51468;primary Managed Ameliorated;Turnpike deposit
10;11850;bottom-line recontextualize Principal;Avon Buckinghamshire Berkshire
