id;id_product;code;name;brand;description;type;state
1;30777;connecting Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;58991;mesh partnerships
2;90415;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;62080;frictionless orchid
3;57964;robust;Granite Rubber;enable;deposit Chicken best-of-breed;89678;Mission Rand Soap
4;19228;Licensed Wooden Pants;e-business;Awesome;Kiribati;35599;Regional
5;12874;open architecture alliance;online;Bulgarian Lev Cambridgeshire;Regional;6107;systemic
6;80620;quantify;Manager;cultivate Bedfordshire;navigate Kiribati;72051;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO)
7;84444;generate Music;Inlet Hungary Configurable;interface;Toys;32207;blue internet solution Concrete
8;89052;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;33744;Dynamic Home Loan Account
9;24435;Cambridgeshire methodology;Adaptive Intelligent Pants;Avon;blue scalable Car;89676;Small Andorra infomediaries
10;98237;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;20507;Director
