id;id_recreational_activity;name;description;date;start_time;end_time;state
1;17530;El Salvador Colon US Dollar mint green;partnerships content;2019-11-03;Garden moratorium Consultant;Markets Cross-group;Liaison Industrial
2;73718;generate Switchable Kyat;Money Market Account;2019-11-04;program Rubber connecting;Fish Small Wooden Gloves Expanded;dynamic Incredible
3;93695;Lithuania;navigating;2019-11-04;Communications XML;Forward;Wyoming Texas
4;39104;Cambridgeshire;Granite quantifying;2019-11-04;EXE SMS back-end;orange bypassing Graphic Interface;Keyboard
5;69495;compelling;North Carolina Creative Connecticut;2019-11-04;synergy Investment Account Rubber;transmit Gloves Cambridgeshire;hacking withdrawal
6;12176;Brooks;Concrete Associate;2019-11-04;Liaison e-markets task-force;ADP attitude-oriented;deposit red Home Loan Account
7;65020;Shirt Awesome Soft Mouse;green Cambridgeshire;2019-11-03;Credit Card Account;Administrator;Keyboard
8;7462;virtual;Intelligent;2019-11-04;Generic Granite Tuna Manager open-source;orange Soap;Suriname models
9;13071;AI Ports pink;Iraq Buckinghamshire;2019-11-04;drive Supervisor Inverse;Land;open-source
10;58214;Belize Dollar sky blue Savings Account;Sports;2019-11-04;Officer primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic
